canonical_name,aliases,loinc_code,unit_canonical,unit_variants,sex,age_min_years,age_max_years,normal_low,normal_high,plausible_min,plausible_max,plain_what,plain_low,plain_high,source
SGOT (AST),,,u/l,iu/l|ul,any,18,120,8,48,1,3000,Another liver enzyme.,,Raised liver enzyme — the doctor will look at this with other liver tests.,IM Smrti v1 (adult generic - NEEDS REVIEW)
Bilirubin Total,,,mg/dl,mgdl,any,18,120,0.3,1.2,0.05,50,A yellow pigment the liver clears out.,,High bilirubin can cause yellowing of eyes or skin (jaundice).,IM Smrti v1 (adult generic - NEEDS REVIEW)
TSH,,,µiu/ml,uiu/ml|miu/l|mlu/l|µlu/ml,any,18,120,0.4,4,0.001,150,The hormone that controls your thyroid — your body's energy thermostat.,"Low TSH usually means an overactive thyroid — can cause weight loss, fast heartbeat, anxiety.","High TSH usually means an underactive thyroid — can cause tiredness, weight gain and feeling cold. Very common and easily treated.",IM Smrti v1 (adult generic - NEEDS REVIEW)
Vitamin D,,,ng/ml,ng/dl|nmol/l,any,18,120,30,100,1,200,The sunshine vitamin — keeps bones and muscles strong.,"Low Vitamin D is extremely common in India. It often causes tiredness, body aches, bone or joint pain and weak muscles. Usually corrected with supplements and some sunlight — ask your doctor.",Higher than needed — usually from taking too many supplements.,IM Smrti v1 (adult generic - NEEDS REVIEW)
Vitamin B12,,,pg/ml,pmol/l,any,18,120,200,900,20,3000,"A vitamin your nerves and blood need — mostly from dairy, eggs and meat.","Low B12 can cause tiredness, tingling in hands or feet, and poor memory. Common in vegetarian diets and easily treated.","Higher than usual, generally from supplements.",IM Smrti v1 (adult generic - NEEDS REVIEW)
Systolic BP,,,mmhg,,any,18,120,90,120,50,260,The upper blood pressure number — pressure when the heart beats.,Low blood pressure — can cause dizziness on standing.,Raised blood pressure. Sustained high BP strains the heart over years.,IM Smrti v1 (adult generic - NEEDS REVIEW)
Diastolic BP,,,mmhg,,any,18,120,60,80,30,160,The lower blood pressure number — pressure when the heart rests.,Low.,Raised blood pressure — worth monitoring regularly.,IM Smrti v1 (adult generic - NEEDS REVIEW)
Heart Rate,,,bpm,/min|beats/min,any,18,120,60,100,25,220,How many times the heart beats per minute.,Slower than usual.,Faster than usual.,IM Smrti v1 (adult generic - NEEDS REVIEW)
Weight,,,kg,kgs|kg.|kilogram|kilograms,any,18,120,,,1,300,Body weight.,,,IM Smrti v1 (adult generic - NEEDS REVIEW)
BMI,,,kg/m2,kg/m²|,any,18,120,18.5,24.9,8,80,Weight compared to height.,Underweight.,Above the healthy range — raises risk of diabetes and heart problems.,IM Smrti v1 (adult generic - NEEDS REVIEW)
ESR,,,mm/hr,mm/1hr|mm,any,18,120,0,20,0,150,A general sign of inflammation in the body.,,Raised — the body may be fighting inflammation or infection somewhere.,IM Smrti v1 (adult generic - NEEDS REVIEW)
CRP,,,mg/l,mg/dl,any,18,120,,5,0,500,A marker that rises with inflammation or infection.,,Raised inflammation marker.,IM Smrti v1 (adult generic - NEEDS REVIEW)
Calcium,,,mg/dl,mgdl,any,18,120,8.5,10.5,3,20,The mineral that keeps bones and muscles working.,Low calcium can cause cramps and tingling.,High.,IM Smrti v1 (adult generic - NEEDS REVIEW)
Sodium,,,meq/l,mmol/l,any,18,120,135,145,100,180,A salt that balances body fluids.,Low sodium can cause weakness and confusion.,High.,IM Smrti v1 (adult generic - NEEDS REVIEW)
Potassium,,,meq/l,mmol/l,any,18,120,3.5,5.1,1,10,A mineral the heart and muscles need.,Low potassium can cause weakness and cramps.,High potassium can affect the heart — doctors take this seriously.,IM Smrti v1 (adult generic - NEEDS REVIEW)
Ferritin,,,ng/ml,µg/l|ug/l,any,18,120,15,300,1,5000,How much iron your body has stored up.,Low iron stores — the usual reason behind anaemia and constant tiredness.,High iron stores.,IM Smrti v1 (adult generic - NEEDS REVIEW)
Iron,,,µg/dl,ug/dl|mcg/dl,any,18,120,60,170,5,1000,Iron circulating in the blood.,Low iron.,High iron.,IM Smrti v1 (adult generic - NEEDS REVIEW)
eGFR,,,ml/min,ml/min/1.73m2,any,18,120,90,,1,200,An estimate of how well the kidneys filter blood.,Lower filtering rate — the doctor will want to look at kidney health.,,IM Smrti v1 (adult generic - NEEDS REVIEW)
